r2_id,r2_name,r1_id (FK)
서울특별시 (r1_id: 1),,
101,종로구,1
102,중구,1
103,용산구,1
104,성동구,1
105,광진구,1
106,동대문구,1
107,중랑구,1
108,성북구,1
109,강북구,1
110,도봉구,1
111,노원구,1
112,은평구,1
113,서대문구,1
114,마포구,1
115,양천구,1
116,강서구,1
117,구로구,1
118,금천구,1
119,영등포구,1
120,동작구,1
121,관악구,1
122,서초구,1
123,강남구,1
124,송파구,1
125,강동구,1
부산광역시 (r1_id: 2),,
201,중구,2
202,서구,2
203,동구,2
204,영도구,2
205,부산진구,2
206,동래구,2
207,남구,2
208,북구,2
209,해운대구,2
210,사하구,2
211,금정구,2
212,강서구,2
213,연제구,2
214,수영구,2
215,사상구,2
216,기장군,2
대구광역시 (r1_id: 3),,
301,중구,3
302,동구,3
303,서구,3
304,남구,3
305,북구,3
306,수성구,3
307,달서구,3
308,달성군,3
309,군위군,3
인천광역시 (r1_id: 4),,
401,중구,4
402,동구,4
403,미추홀구,4
404,연수구,4
405,남동구,4
406,부평구,4
407,계양구,4
408,서구,4
409,강화군,4
410,옹진군,4
광주광역시 (r1_id: 5),,
501,동구,5
502,서구,5
503,남구,5
504,북구,5
505,광산구,5
대전광역시 (r1_id: 6),,
601,동구,6
602,중구,6
603,서구,6
604,유성구,6
605,대덕구,6
울산광역시 (r1_id: 7),,
701,중구,7
702,남구,7
703,동구,7
704,북구,7
705,울주군,7
세종특별자치시 (r1_id: 8),,
801,세종시,8
경기도 (r1_id: 9),,
901,수원시,9
902,고양시,9
903,용인시,9
904,성남시,9
905,부천시,9
906,안산시,9
907,평택시,9
908,화성시,9
909,남양주시,9
910,안양시,9
911,의정부시,9
912,시흥시,9
913,파주시,9
914,김포시,9
915,광주시,9
916,하남시,9
917,이천시,9
918,오산시,9
919,양주시,9
920,구리시,9
921,군포시,9
922,의왕시,9
923,포천시,9
924,양평군,9
925,여주시,9
926,동두천시,9
927,가평군,9
928,연천군,9
강원특별자치도 (r1_id: 10),,
1001,춘천시,10
1002,원주시,10
1003,강릉시,10
1004,동해시,10
1005,속초시,10
1006,태백시,10
1007,삼척시,10
1008,홍천군,10
1009,평창군,10
1010,양양군,10
충청북도 (r1_id: 11),,
1101,청주시,11
1102,충주시,11
1103,제천시,11
1104,보은군,11
1105,진천군,11
충청남도 (r1_id: 12),,
1201,천안시,12
1202,공주시,12
1203,보령시,12
1204,아산시,12
1205,서산시,12
1206,논산시,12
1207,당진시,12
1208,예산군,12
1209,태안군,12
전라북도 (r1_id: 13),,
1301,전주시,13
1302,군산시,13
1303,익산시,13
1304,정읍시,13
1305,남원시,13
1306,김제시,13
1307,완주군,13
전라남도 (r1_id: 14),,
1401,목포시,14
1402,여수시,14
1403,순천시,14
1404,나주시,14
1405,광양시,14
1406,담양군,14
1407,고흥군,14
1408,해남군,14
경상북도 (r1_id: 15),,
1501,포항시,15
1502,경주시,15
1503,김천시,15
1504,안동시,15
1505,구미시,15
1506,영주시,15
1507,상주시,15
1508,문경시,15
1509,경산시,15
1510,영덕군,15
1511,울릉군,15
경상남도 (r1_id: 16),,
1601,창원시,16
1602,진주시,16
1603,통영시,16
1604,사천시,16
1605,김해시,16
1606,밀양시,16
1607,거제시,16
1608,양산시,16
1609,하동군,16
1610,남해군,16
제주특별자치도 (r1_id: 17),,
1701,제주시,17
1702,서귀포시,17
