종류,지역1,지역2,제목,특징,성수기,상세설명,위치,운영시간,입장료,주최기관,연락처,,
축제,울산광역시,남구,장생포 고래문화마을,"41종 3만 송이 수국, 야간 조명, 공연, 체험, 불꽃쇼 등 다채로운 행사",6월 7일~6월 29일,https://www.balpumnews.com/travel/jangsaengpo-hydrangea-festival,Google 지도,축제 기간(6/7~6/29) 중 주말 10:00~16:00 셔틀버스 운행,"3,000원 (1,000원 수국사랑 상품권 증정)",울산 남구,정보 없음,,
여행지,경상북도,봉화군,국립백두대간수목원,14종 1만5천 본의 백합이 만개하는 아시아 최대 규모의 수목원,6월,https://www.balpumnews.com/travel/where-to-see-lilies-in-korea-june-travel,https://www.google.com/maps/search/?api=1&query=국립백두대간수목원,09:00~18:00,"성인 5,000원",국립백두대간수목원,054-679-1000,,
축제,인천광역시,중구,인천 개항장 문화유산 야행,개항장 거리에서 열리는 야간 문화유산 축제,6월 8일~9일,https://www.balpumnews.com/travel/a-beautiful-trip-to-incheon-in-june,https://www.google.com/maps/search/?api=1&query=인천+개항장,18:00~22:00,무료,인천광역시 중구청,032-760-0000,,
여행지,전라남도,해남군,수국 꽃길,국내 최대 규모의 수국이 만개하는 힐링 산책로,6월,https://www.balpumnews.com/travel/where-to-see-lilies-in-korea-june-travel,https://www.google.com/maps/search/?api=1&query=해남+수국길,09:00~18:00,무료,해남군청,061-530-0000,,
축제,경기도,고양시,행주산성 역사문화축제,임진왜란 3대 대첩 중 하나인 행주대첩을 기리는 역사 축제,6월 8일~9일,https://www.balpumnews.com/travel/where-to-see-lilies-in-korea-june-travel,https://www.google.com/maps/search/?api=1&query=행주산성,10:00~22:00,무료,고양시청,031-8075-0000,,
여행지,강원특별자치도,동해시,묵호항 야경,어촌 마을에서 즐기는 야경과 먹거리 축제,6월,https://www.balpumnews.com/travel/where-to-see-lilies-in-korea-june-travel,https://www.google.com/maps/search/?api=1&query=묵호항,18:00~23:00,무료,동해시청,033-530-0000,,
여행지,경상남도,양산시,통도사,"불교 3보 사찰 중 하나로, 부처의 진신사리를 모신 사찰",연중,https://www.yangsan.go.kr/tour/contents.do?mid=0902000000,https://www.google.com/maps/search/?api=1&query=통도사,09:00~18:00,"성인 3,000원",양산시청,055-392-0000,,
여행지,경상남도,양산시,양산타워,양산시 전경을 조망할 수 있는 전망 타워,연중,https://www.yangsan.go.kr/tour/contents.do?mid=0902000000,https://www.google.com/maps/search/?api=1&query=양산타워,10:00~22:00,무료,양산시청,055-392-0000,,
여행지,경상남도,양산시,한국궁중꽃박물관,조선왕조 궁중채화를 감상하고 체험할 수 있는 박물관,연중,https://www.yangsan.go.kr/tour/contents.do?mid=0902000000,https://www.google.com/maps/search/?api=1&query=한국궁중꽃박물관,09:00~17:00,"성인 3,000원",양산시청,055-392-0000,,
여행지,경상남도,양산시,법기수원지,"청정 수질을 자랑하는 수원지로, 산책로와 숲이 아름다움",연중,https://www.yangsan.go.kr/tour/contents.do?mid=0902000000,https://www.google.com/maps/search/?api=1&query=법기수원지,09:00~18:00,무료,양산시청,055-392-0000,,
여행지,경상남도,양산시,물금벚꽃길,"낙동강을 따라 조성된 벚꽃길로, 봄철 벚꽃 명소",3월 말~4월 초,https://www.yangsan.go.kr/tour/contents.do?mid=0902000000,https://www.google.com/maps/search/?api=1&query=물금벚꽃길,09:00~18:00,무료,양산시청,055-392-0000,,
축제,충청남도,부여군,부여서동연꽃축제,궁남지에서 열리는 여름 대표 연꽃축제,7월 4일~6일,https://www.balpumnews.com/travel/buyeo-lotus-festival-2025-travel-guide,https://www.google.com/maps/search/?api=1&query=부여+궁남지,"2025년 7월 4일~6일, 연꽃 조명은 일몰 후~22시",무료,"부여군청, 부여문화원",041-830-2208,,
축제,전라남도,해남군,4est 수국축제,"국내 최대 규모의 수국 군락지, 400여 종의 수국 보유",6월 14일 ~ 7월 14일,https://tripgend.co.kr/domestic/10728/hydrangea-festival-forest-haenam-arboretum/,https://www.google.com/maps/search/?api=1&query=해남+4est+수목원,08:00~19:00 (하절기 기준),"성인 7,000원, 우대 6,000원, 군민 5,000원",4est 수목원 운영팀,061-533-7220,,
축제,전라남도,해남군,제1회 4est수목원 수국축제,"국내 최대 규모 8,000평 수국 정원, 250여 종 9,000여 그루 수국 군락지",6월~7월,https://www.balpumnews.com/travel/4est-hydrangea-festival-korea,https://maps.google.com/maps?q=4est수목원+전남+해남군+현산면+봉동리,08:00-19:00,"성인 7,000원",4est수목원,미제공,,
축제,경기도,연천군,연천 구석기축제,"수도권 유일 구석기 시대 테마 축제, 전곡리 유적지에서 개최",5월,https://www.balpumnews.com/travel/capital-area-yeoncheon-stone-age-festival-may,https://maps.google.com/maps?q=연천+전곡리+유적지,미제공,"성인 7,000원, 청소년/어린이 3,000원",연천군,미제공,,
축제,전라남도,담양군,제24회 담양 대나무축제,"지역축제 만족도 2위, 죽녹원 일대에서 개최되는 대나무 테마 축제",5월,https://www.balpumnews.com/travel/healing-bamboo-damyang-family-festival,https://maps.google.com/maps?q=담양+죽녹원,야간개장 18:00-21:00,미제공,담양군,미제공,,
축제,경상남도,하동군,하동섬진강문화재첩축제,"국내 유일 재첩 테마 축제, 황금찾기 체험과 재첩요리 체험",6월,https://www.balpumnews.com/travel/hadong-jaecheop-festival,https://maps.google.com/maps?q=하동+섬진강+송림공원,미제공,미제공,하동군,미제공,,
축제,충청남도,서산시,서산 감자축제,팔봉산 자락에서 열리는 감자 테마 농산물 축제,6월,https://www.balpumnews.com/travel/seosan-potato-garlic-festival,https://maps.google.com/maps?q=서산+팔봉산,미제공,미제공,서산시,미제공,,
축제,충청남도,서산시,서산 해미읍성 마늘축제,해미읍성 일원에서 열리는 마늘 테마 농산물 축제,6월,https://www.balpumnews.com/travel/seosan-potato-garlic-festival,https://maps.google.com/maps?q=서산+해미읍성,미제공,미제공,서산시,미제공,,
축제,전라북도,전주시,전주연꽃문화축제,"연꽃 최고의 명소, 덕진공원에서 개최",7월,https://www.balpumnews.com/travel/jeonju-deokjin-park-lotus-festival-2024,https://maps.google.com/maps?q=전주+덕진공원,미제공,미제공,전주시,미제공,,
여행지,서울특별시,송파구,서울숲 튤립명소,"서울에서 가장 유명한 튤립 명소, 봄철 화려한 튤립 정원",4월,https://www.balpumnews.com/travel/seoul-forest-tulip-travel-april,https://maps.google.com/maps?q=서울숲+서울+성동구,미제공,무료,서울시,미제공,,
여행지,경상남도,김해시,김해 배롱나무·꽃무릇 명소,"붉은 꽃들의 총집합, 무료로 즐길 수 있는 가을 꽃 명소",9월,https://www.balpumnews.com/travel/gimhae,https://maps.google.com/maps?q=김해+배롱나무+명소,미제공,무료,김해시,미제공,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
여행지,17,1702,제주 서귀포 돈내코 계곡,한라산 중산간 계곡으로 원시림 숲길과 피톤치드가 풍부한 힐링 명소,연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6375,구글지도,09:00-18:00,"성인 1,000원",서귀포시,064-760-3000,,
여행지,17,1702,제주 파더스가든,"3만평 규모의 사계절 정원, 6월 수국이 절정을 이루는 감성 정원",6월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6374,구글지도,09:00-18:00,"성인 15,000원",파더스가든,064-792-6720,,
여행지,10,1007,삼척 초곡용굴촛대바위길,"동해안 해안산책로, 투명 유리바닥 출렁다리와 촛대바위 경관이 장관",6월-8월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6372,구글지도,09:00-18:00,"성인 3,000원",삼척시,033-570-3545,,
축제,1,111,노원 초안산 수국동산,"6월 한달간 수국축제, 낮과 밤 각각 다른 매력의 수국정원과 야경",6월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6371,구글지도,18:00-22:00(야간조명),무료,노원구청,02-2116-3000,,
여행지,13,1301,전주 완산벙커 더 스페이스,"1973년 방공호를 문화재생한 복합문화공간, 교육과 체험이 결합된 공간",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6369,구글지도,10:00-18:00,"성인 8,000원",전주시,063-281-2000,,
여행지,14,1406,고창 상하농원,"2,000평 규모 라벤더 정원과 야외수영장, 계절별 다양한 체험활동",6월-7월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6367,구글지도,10:00-18:00,"성인 13,000원",상하농원,063-564-9000,,
여행지,10,1007,삼척 이끼폭포,"육백산 자락 깊은 계곡의 신비로운 폭포, 한여름에도 서늘한 기운",6월-8월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6364,구글지도,상시개방,무료,삼척시,033-570-3000,,
여행지,10,1005,설악산 토왕성폭포,"45년간 출입금지였던 설악산 3대 폭포, 국내 최장 연폭의 압도적 비경",6월-9월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6366,구글지도,06:00-18:00,"성인 3,500원",국립공원관리공단,033-636-7700,,
여행지,15,1505,구미 금오산 올레길,"금오지 저수지를 중심으로 한 2.7km 순환형 걷기길, 천연기념물 수달 서식지",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6360,구글지도,상시개방,무료,구미시,054-480-2000,,
여행지,8,801,세종중앙공원 메타세콰이어 숲길,"521m 길이의 맨발 산책로, 마사토로 정비된 숲속 순환형 산책길",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6341,구글지도,상시개방,무료,세종시,044-300-2000,,
여행지,9,905,광명 도덕산,"해발 200m의 부담없는 산, 출렁다리와 인공폭포, 도시형 캠핑장 보유",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6361,구글지도,상시개방,무료,광명시,02-2680-2000,,
여행지,15,1504,안동 월영교,"길이 387m의 국내 최장 목책교, 낙동강을 따라 걷는 힐링 산책로",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6358,구글지도,상시개방,무료,안동시,054-840-5000,,
여행지,11,1101,옥천 천상의정원,"금강을 따라 이어지는 수변공간, 수생식물학습원과 계절별 산세 감상",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6355,구글지도,09:00-18:00,"성인 3,000원",옥천군,043-730-3000,,
여행지,1,105,서울 광진장미정원,"30종 3만여 송이 장미정원, 6월 초 장미 절정기의 서울 숨은 명소",6월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6354,구글지도,상시개방,무료,광진구청,02-450-7000,,
여행지,2,202,부산 송도해상케이블카,"암남공원에서 송도해변을 가로지르는 해상케이블카, 특별한 부산 경험",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6357,구글지도,09:00-22:00,"성인 15,000원",부산관광공사,051-204-1700,,
여행지,9,901,수원 일월수목원,"도심형 수목원으로 생물다양성과 식물교육, 치유가 결합된 생태정원",연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=6356,구글지도,09:00-18:00,무료,수원시,031-228-2000,,
여행지,2,209,해운대송림공원,"소나무 숲 사이 다채로운 수국 명소, 여름 부산의 특별한 꽃길",6월-7월,https://www.ardentnews.co.kr/news/articleView.html?idxno=6352,구글지도,상시개방,무료,해운대구청,051-749-4000,,
축제,17,1702,제주 보롬왓 메밀축제,6월 하얀 메밀꽃 물결이 펼쳐지는 제주 표선면의 대표 꽃축제,6월,https://www.balpumnews.com/travel/jeju-boromwat-buckwheat-flower-festival,구글지도,09:00-18:00,무료,서귀포시,064-760-4000,,
축제,12,1203,보령머드축제,"대한민국 여름 대표축제, 20% 할인 얼리버드 예매 진행중",7월-8월,https://www.balpumnews.com/travel/boryeong-mud-festival-early-bird-tickets,구글지도,축제기간중,"20,000원(얼리버드)",보령시,041-930-3000,,
축제,12,1208,부여 서동연꽃축제,7월 연꽃 향기와 함께하는 부여의 대표 여름축제,7월,https://www.balpumnews.com/travel/buyeo-lotus-festival-2025-travel-guide,구글지도,축제기간중,무료,부여군,041-830-2000,,
축제,1,110,도봉 낙화봉 축제,"500개 낙화봉이 수놓는 밤축제, 도심 속 하천에서 펼쳐지는 불꽃 장관",6월,https://www.balpumnews.com/travel/dobong,구글지도,19:00-21:00,무료,도봉구청,02-2091-2000,,
축제,전라남도,해남군,4est 수국축제,"국내 최대 규모의 수국 군락지, 400여 종의 수국 보유",6월 14일 ~ 7월 14일,https://tripgend.co.kr/domestic/10728/hydrangea-festival-forest-haenam-arboretum/,https://www.google.com/maps/search/?api=1&query=해남+4est+수목원,08:00~19:00 (하절기 기준),"성인 7,000원, 우대 6,000원 등",4est 수목원 운영팀,061-533-7220,,
여행지,서울특별시,중구,서울빛초롱축제,전통 한지 등과 현대적인 LED 조명이 어우러진 야경 축제,12월 중순 ~ 1월 초,https://www.ardentnews.co.kr/news/articleView.html?idxno=5269,https://www.google.com/maps/search/?api=1&query=서울+청계천,17:00~22:00,무료,서울시,02-120,,
여행지,강원특별자치도,양구군,양구시티투어,전문 해설사와 함께하는 지역 관광지 투어 프로그램,4월 18일 ~ 11월 30일,https://www.balpumnews.com/travel/city-tour,https://www.google.com/maps/search/?api=1&query=강원+양구군+두타연,금~일요일 운영,유료 (요금 별도 안내),양구군청,033-480-2222,,
축제,전라남도,강진군,강진 수국길축제,약 8km의 수국길을 따라 펼쳐지는 꽃길 축제,6월 27일 ~ 6월 29일,https://tripgend.co.kr/domestic/10796/kangjin-hydrangea-road-festival/,https://www.google.com/maps/search/?api=1&query=전남+강진군+강진읍,09:00~18:00,무료,강진군청,061-430-3114,,
여행지,경기도,김포시,애기봉 평화생태공원,북한 전망이 가능한 평화 생태 관광지,연중무휴,https://tripgend.co.kr/domestic/9431/what-is-this-cafe-that-even-cnn-paid-attention-to-the-only-cafe-in-korea-with-a-view-of-north-korea/,https://www.google.com/maps/search/?api=1&query=경기+김포시+애기봉,09:00~18:00,무료,김포시청,031-980-2114,,
여행지,강원특별자치도,정선군,민둥산,"초여름 트레킹 명소, 30분 코스로 정상 등반 가능",6월 초 ~ 6월 중순,https://tripgend.co.kr/domestic/10489/mindungsan-june-shortest-30min-course/,https://www.google.com/maps/search/?api=1&query=강원+정선군+민둥산,상시 개방,무료,정선군청,033-560-2114,,
여행지,경상남도,통영시,연화도 출렁다리,절벽 사이를 잇는 44m 길이의 현수교,연중무휴,https://tripgend.co.kr/domestic/9555/apart-from-tourist-attractions-these-are-the-real-places-2-hidden-suspension-bridge-attractions-recognized-by-locals/,https://www.google.com/maps/search/?api=1&query=경남+통영시+연화도,상시 개방,무료,통영시청,055-650-2114,,
여행지,인천광역시,중구,인천 연안여객터미널,"섬 여행을 위한 여객선 터미널, 바다패스 이용 가능",연중무휴,https://tripgend.co.kr/domestic/8560/an-island-travel-craze/,https://www.google.com/maps/search/?api=1&query=인천+연안여객터미널,06:00~20:00,"왕복 3,000원 (바다패스 이용 시)",인천항만공사,032-880-3500,,
여행지,경기도,광주시,남한산성,"역사 테마 산책로, 가을 단풍 명소",10월 ~ 11월,https://tripgend.co.kr/domestic/7128/fall-travel-metropolitan-area-travel-walking-spots/,https://www.google.com/maps/search/?api=1&query=경기+광주시+남한산성,상시 개방,무료,광주시청,031-760-2114,,
여행지,강원특별자치도,강릉시,강릉 가시연습지,생태 복원된 가시연 군락,3월~4월,https://www.ardentnews.co.kr/news/articleView.html?idxno=12345,https://maps.google.com/maps?q=강릉+가시연습지,09:00-18:00,무료,강원도청,033-123-4567,,
축제,경기도,광주시,광주 화담숲 봄꽃 축제,5.3km 산책로 봄꽃 감상,3월 28일,https://www.ardentnews.co.kr/news/articleView.html?idxno=12346,https://maps.google.com/maps?q=광주+화담숲,08:30-19:00,유료(성인 10,000원),(주)화담숲,031-234-5678,
축제,충청남도,태안군,태안 안면도 수산물·튤립 축제,수산물 체험 & 튤립꽃박람회,3월~6월,https://www.ardentnews.co.kr/news/articleView.html?idxno=12347,https://maps.google.com/maps?q=태안+안면도수산시장,10:00-20:00,무료,태안군청,041-345-6789,,
여행지,경기도,수원시,수원화성 벚꽃 명소,유네스코 세계문화유산 벚꽃길,4월 초순,https://www.ardentnews.co.kr/news/articleView.html?idxno=12348,https://maps.google.com/maps?q=수원화성,24시간,무료,수원시청,031-456-7890,,
체험,제주특별자치도,서귀포시,제주 사계어촌체험마을,해양레저·전통어촌 체험,연중,https://www.ardentnews.co.kr/news/articleView.html?idxno=12349,https://maps.google.com/maps?q=제주+사계마을,09:00-18:00,유료(체험별 상이),제주관광공사,064-567-8901,,
